TIMESTAMP,GUID,INSTRUCTOR,ERROR
2022-04-14 09:27:08,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 09:59:46,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 10:27:12,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 10:43:46,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 11:21:12,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 11:43:45,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 12:15:53,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 12:36:35,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 13:18:35,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 13:40:10,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 14:16:14,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 14:39:29,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 15:19:09,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 15:40:57,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 16:17:42,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 16:40:00,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-04-14 18:47:47,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-05-24 13:42:59,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,No offering on this day
2022-05-24 14:16:48,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,No offering on this day
